AP1,AP2,AP3,AP4,AP5,AP6,X,Y,Z
-64,-61,-68,-63,-71,-59,2.4384,3.6576,4.572
-61,-61,-59,-60,-62,-63,3.048,3.6576,4.572
-61,-60,-63,-64,-51,-62,3.6576,3.6576,4.572
-62,-60,-63,-64,-51,-62,4.2672,3.6576,4.572
-63,-61,-62,-65,-57,-57,4.8768,3.6576,4.572
-64,-63,-71,-63,-67,-53,5.4864,3.6576,4.572
-65,-63,-71,-63,-67,-53,6.096,3.6576,4.572
-65,-61,-64,-72,-68,-34,6.7056,3.6576,4.572
-67,-61,-64,-72,-68,-34,7.3152,3.6576,4.572
-69,-64,-64,-81,-66,-50,7.9248,3.6576,4.572
-69,-67,-78,-67,-66,-56,8.5344,3.6576,4.572
-69,-67,-78,-67,-66,-56,9.144,3.6576,4.572
-70,-70,-73,-53,-63,-72,9.7536,3.6576,4.572
-70,-65,-73,-67,-62,-60,10.0581,3.6576,4.572
-60,-55,-65,-65,-60,-53,0,4.2672,4.572
-59,-55,-65,-65,-60,-53,0.6096,4.2672,4.572
-60,-58,-70,-64,-52,-54,1.2192,4.2672,4.572
-61,-60,-63,-62,-51,-58,1.8288,4.2672,4.572
-62,-58,-61,-64,-63,-57,2.4384,4.2672,4.572
-61,-58,-61,-64,-63,-57,3.048,4.2672,4.572
-63,-58,-68,-52,-53,-62,3.6576,4.2672,4.572
-56,-61,-58,-56,-52,-59,4.2672,4.2672,4.572
-56,-61,-58,-56,-52,-59,4.8768,4.2672,4.572
-59,-60,-67,-56,-54,-58,5.4864,4.2672,4.572
-59,-61,-71,-60,-60,-60,6.096,4.2672,4.572
-60,-61,-71,-60,-60,-60,6.7056,4.2672,4.572
-61,-61,-66,-65,-65,-55,7.3152,4.2672,4.572
-59,-61,-75,-64,-60,-59,7.9248,4.2672,4.572
-62,-63,-63,-64,-55,-62,8.5344,4.2672,4.572
-61,-63,-63,-64,-55,-62,9.144,4.2672,4.572
-62,-63,-60,-50,-57,-64,9.7536,4.2672,4.572
-61,-56,-73,-55,-67,-65,10.0581,4.2672,4.572
-55,-57,-66,-55,-60,-64,0,4.8768,4.572
-56,-57,-66,-57,-62,-65,0.6096,4.8768,4.572
-71,-57,-62,-55,-68,-70,1.2192,4.8768,4.572
-71,-57,-62,-55,-68,-70,1.8288,4.8768,4.572
-57,-56,-62,-57,-56,-66,2.4384,4.8768,4.572
-57,-56,-62,-57,-56,-66,3.048,4.8768,4.572
-59,-65,-71,-56,-58,-67,3.6576,4.8768,4.572
-63,-57,-67,-53,-60,-62,4.2672,4.8768,4.572
-64,-62,-65,-54,-56,-64,4.8768,4.8768,4.572
-68,-60,-63,-54,-50,-58,5.4864,4.8768,4.572
-76,-61,-67,-54,-55,-63,6.096,4.8768,4.572
-70,-67,-63,-59,-71,-68,6.7056,4.8768,4.572
-70,-67,-63,-59,-71,-68,7.3152,4.8768,4.572
-71,-60,-65,-65,-57,-65,7.9248,4.8768,4.572
-63,-70,-67,-60,-64,-64,8.5344,4.8768,4.572
-70,-71,-67,-66,-59,-60,9.144,4.8768,4.572
-67,-60,-67,-59,-69,-58,9.7536,4.8768,4.572
-74,-57,-64,-56,-66,-64,10.0581,4.8768,4.572
-69,-55,-75,-54,-60,-62,0,5.4864,4.572
-76,-53,-71,-56,-57,-54,0.6096,5.4864,4.572
-59,-57,-72,-66,-65,-64,1.2192,5.4864,4.572
-57,-63,-69,-54,-58,-60,1.8288,5.4864,4.572
-58,-65,-63,-62,-67,-61,2.4384,5.4864,4.572
-58,-65,-63,-62,-67,-61,3.048,5.4864,4.572
-58,-65,-63,-62,-67,-61,3.6576,5.4864,4.572
-64,-67,-68,-56,-55,-61,4.2672,5.4864,4.572
-67,-67,-70,-56,-55,-60,4.8768,5.4864,4.572
-59,-62,-65,-50,-61,-53,5.4864,5.4864,4.572
-59,-62,-65,-50,-61,-53,6.096,5.4864,4.572
-59,-62,-65,-50,-61,-53,6.7056,5.4864,4.572
-59,-62,-65,-50,-61,-53,7.3152,5.4864,4.572
-66,-64,-69,-60,-49,-57,7.9248,5.4864,4.572
-66,-64,-69,-60,-49,-57,8.5344,5.4864,4.572
-66,-64,-69,-60,-49,-57,9.144,5.4864,4.572
-72,-48,-62,-52,-72,-64,9.7536,5.4864,4.572
-62,-53,-61,-52,-72,-63,10.0581,5.4864,4.572
-62,-53,-61,-52,-70,-63,0.6096,6.096,4.572
-62,-54,-67,-68,-70,-70,1.2192,6.096,4.572
-75,-59,-75,-68,-70,-72,1.8288,6.096,4.572
-58,-59,-68,-58,-64,-63,2.4384,6.096,4.572
-59,-55,-68,-54,-57,-63,3.048,6.096,4.572
-59,-55,-68,-54,-57,-63,3.6576,6.096,4.572
-59,-58,-69,-55,-59,-63,4.2672,6.096,4.572
-58,-61,-68,-57,-57,-53,4.8768,6.096,4.572
-58,-61,-68,-57,-57,-53,5.4864,6.096,4.572
-64,-62,-58,-48,-59,-59,6.096,6.096,4.572
-64,-62,-57,-50,-59,-55,6.7056,6.096,4.572
-66,-63,-64,-52,-59,-58,7.3152,6.096,4.572
-66,-64,-64,-58,-54,-57,7.9248,6.096,4.572
-63,-64,-64,-50,-57,-57,8.5344,6.096,4.572
-83,-70,-82,-77,-75,-64,9.144,6.096,4.572
-77,-70,-77,-74,-72,-77,9.7536,6.096,4.572
-74,-68,-82,-81,-66,-60,0,6.7056,4.572
-62,-66,-74,-74,-73,-65,0,7.3152,4.572
-73,-68,-75,-72,-69,-67,0,7.9248,4.572
-72,-72,-75,-73,-71,-72,0,8.5344,4.572
-69,-69,-69,-59,-63,-63,0,9.144,4.572
-70,-55,-78,-61,-75,-60,0,9.7536,4.572
-70,-55,-78,-61,-55,-60,0.6096,6.7056,4.572
-70,-60,-61,-62,-63,-61,0.6096,7.3152,4.572
-74,-61,-58,-67,-66,-65,0.6096,7.9248,4.572
-73,-61,-55,-76,-73,-60,0.6096,8.5344,4.572
-57,-53,-66,-65,-70,-61,0.6096,9.144,4.572
-56,-62,-68,-67,-65,-65,0.6096,9.7536,4.572
-67,-58,-66,-61,-64,-68,1.2192,6.7056,4.572
-67,-58,-66,-61,-64,-68,1.2192,7.3152,4.572
-65,-59,-63,-63,-77,-66,1.2192,7.9248,4.572
-67,-77,-62,-73,-70,-80,1.2192,8.5344,4.572
-64,-53,-64,-67,-66,-59,1.2192,9.144,4.572
-60,-58,-67,-58,-65,-67,1.2192,9.7536,4.572
-60,-58,-67,-58,-65,-67,1.8288,6.7056,4.572
-60,-58,-67,-58,-65,-67,2.4384,6.7056,4.572
-63,-68,-66,-68,-71,-55,3.048,6.7056,4.572
-63,-68,-66,-68,-71,-55,3.6576,6.7056,4.572
-63,-68,-66,-68,-71,-55,4.2672,6.7056,4.572
-58,-62,-72,-64,-63,-69,4.8768,6.7056,4.572
-58,-62,-72,-64,-63,-69,5.4864,6.7056,4.572
-58,-62,-72,-63,-63,-69,6.096,6.7056,4.572
-61,-62,-76,-59,-65,-57,6.7056,6.7056,4.572
-61,-68,-76,-59,-65,-57,7.3152,6.7056,4.572
-61,-68,-76,-59,-65,-57,7.9248,6.7056,4.572
-73,-72,-76,-66,-60,-72,8.5344,6.7056,4.572
-73,-72,-76,-66,-60,-72,9.144,6.7056,4.572
-73,-65,-65,-64,-58,-60,9.7536,6.7056,4.572
-73,-60,-65,-64,-58,-60,10.0581,6.7056,4.572
-73,-60,-65,-64,-58,-60,1.8288,7.3152,4.572
-68,-69,-74,-59,-60,-62,2.4384,7.3152,4.572
-68,-69,-74,-59,-60,-62,3.048,7.3152,4.572
-68,-69,-74,-59,-60,-62,3.6576,7.3152,4.572
-68,-69,-74,-59,-60,-62,4.2672,7.3152,4.572
-62,-59,-67,-61,-59,-65,4.8768,7.3152,4.572
-59,-59,-72,-56,-58,-62,5.4864,7.3152,4.572
-59,-59,-72,-56,-58,-62,6.096,7.3152,4.572
-59,-59,-72,-56,-58,-62,6.7056,7.3152,4.572
-59,-66,-73,-69,-50,-66,7.3152,7.3152,4.572
-59,-66,-73,-69,-50,-66,7.9248,7.3152,4.572
-59,-66,-73,-69,-50,-66,8.5344,7.3152,4.572
-59,-66,-73,-69,-50,-66,9.144,7.3152,4.572
-63,-59,-59,-63,-59,-65,9.7536,7.3152,4.572
-63,-59,-59,-63,-59,-65,10.0584,7.3152,4.572
-63,-62,-71,-60,-67,-58,1.8288,7.9248,4.572
-63,-62,-67,-64,-63,-61,2.4384,7.9246,4.572
-64,-65,-60,-53,-67,-67,3.048,7.9244,4.572
-64,-65,-60,-53,-67,-67,3.6576,7.9242,4.572
-70,-67,-66,-58,-69,-67,4.2672,7.924,4.572
-60,-65,-64,-56,-61,-70,4.8768,7.9238,4.572
-64,-66,-67,-55,-67,-63,5.4864,7.9236,4.572
-64,-66,-67,-55,-67,-63,6.096,7.9234,4.572
-67,-65,-74,-58,-67,-58,6.7056,7.9232,4.572
-67,-65,-74,-58,-67,-68,7.3152,7.923,4.572
-75,-64,-75,-63,-62,-66,7.9248,7.9228,4.572
-75,-64,-75,-63,-62,-66,8.5344,7.9226,4.572
-75,-64,-75,-63,-62,-66,9.144,7.9224,4.572
-60,-60,-63,-59,-59,-66,9.7536,7.9222,4.572
-60,-60,-63,-59,-59,-66,10.0584,7.922,4.572
-60,-60,-63,-60,-63,-67,1.8288,8.5344,4.572
-53,-62,-82,-57,-63,-52,2.4384,8.5344,4.572
-69,-56,-82,-57,-63,-52,3.048,8.5344,4.572
-69,-61,-70,-62,-62,-66,3.6576,8.5344,4.572
-62,-61,-70,-62,-62,-66,4.2672,8.5344,4.572
-62,-61,-70,-62,-62,-66,4.8768,8.5344,4.572
-62,-61,-70,-62,-62,-66,5.4864,8.5344,4.572
-73,-64,-74,-59,-61,-62,6.096,8.5344,4.572
-68,-67,-81,-65,-61,-62,6.7056,8.5344,4.572
-68,-67,-81,-65,-61,-62,7.3152,8.5344,4.572
-68,-67,-81,-65,-61,-62,7.9248,8.5344,4.572
-69,-62,-72,-66,-63,-67,8.5344,8.5344,4.572
-56,-54,-66,-62,-63,-67,9.144,8.5344,4.572
-56,-54,-66,-62,-63,-67,9.7536,8.5344,4.572
-70,-63,-72,-64,-73,-58,10.0584,8.5344,4.572
-61,-57,-72,-67,-72,-57,1.8288,9.144,4.572
-69,-62,-69,-54,-64,-64,2.4384,9.144,4.572
